day,phase,tiltx_11m_combined,tiltx_19m_combined,is_predicted
21,1,-0.21107119355319148,1.5170824494184398,0
22,1,-0.2622841550555555,1.7076861817222222,0
23,1,-0.3068887537291667,1.751308311201389,0
24,1,-0.31041459513888886,1.7611046540972222,0
25,1,-0.33575680108333333,1.7632573528541666,0
26,1,-0.31424548188194446,1.7035439469861111,0
27,1,-0.317198505993007,1.6764221308321678,0
28,1,-0.35556019303472225,1.6840630794375,0
29,1,-0.32000745111458334,1.7035169005208333,0
30,1,-0.3012205112847222,1.725286326451389,0
31,1,-0.3152620701944444,1.8036754719305554,0
32,1,-0.3614348272569445,1.8178309342430556,0
33,1,-0.3573329055208333,1.8380143245000002,0
34,1,-0.37359308836111116,1.8445832572222223,0
35,1,-0.3476100688958333,1.8014455048333333,0
36,1,-0.3766330716597222,1.8558315328333335,0
37,1,-0.36550779675,1.8942847326319443,0
38,1,-0.3598941982222222,1.8976205868680556,0
39,1,-0.3495693117986111,1.924501913298611,0
40,1,-0.35505566158333335,1.9681505751180555,0
41,1,-0.3853655117847222,1.9440109249999997,0
42,1,-0.3641708671319444,1.900765518375,0
43,1,-0.35311747524305553,1.8800700282430556,0
44,1,-0.35507301486805554,1.9221036202083335,0
45,1,-0.3685951586527778,1.8413191172638887,0
46,2,-0.4850443115070423,1.9766021841056338,0
47,2,-0.6169575535972222,2.1175313715694446,0
48,2,-0.5902701636597222,2.152376491173611,0
49,2,-0.5673504128194444,2.1938434358541667,0
50,2,-0.5704325913472222,2.191261397451389,0
51,2,-0.5886136334930555,2.1835395064791667,0
52,2,-0.6235377209027777,2.141751012861111,0
53,2,-0.6183611960704225,2.1304079629929578,0
54,2,-0.6314199040902778,2.1244712968819446,0
55,2,-0.582887319607639,2.1485804236180552,0
56,2,-0.5745005421180556,2.1537741190833333,0
57,2,-0.5903885409791667,2.156626539076389,0
58,2,-0.5703733431111111,2.214697589479167,0
59,2,-0.57649681409375,2.2519396759027774,0
60,2,-0.5991789445833333,2.2913631531875,0
61,2,-0.6430413209583333,2.2627058161458335,0
62,2,-0.6380900843958334,2.2453505446875,0
63,2,-0.6315149230069445,2.2286126663055557,0
64,2,-0.6234256471874999,2.2205390813958332,0
65,2,-0.60043614525,2.2444873485416665,0
66,2,-0.6089767826388889,2.3107940554444446,0
67,2,-0.627510927212766,2.3454583214964537,0
68,2,-0.6589908222708334,2.3732507592916665,0
69,2,-0.6733145472097902,2.310762652104895,0
70,2,-0.6959319131249999,2.2491445309583336,0
71,2,-0.6692375006805555,2.260200791923611,0
72,2,-0.6658112464652778,2.2876734071597222,0
73,2,-0.6778965944375,2.315659075944444,0
74,2,-0.6922169447777777,2.2967449790694445,0
75,2,-0.7213255532857143,2.2470266069714286,0
76,2,-0.7429997097569445,2.219652415986111,0
77,2,-0.7321197969577464,2.196827419992958,0
78,2,-0.7373830225347222,2.2091299295069446,0
79,2,-0.7588323582708333,2.189245043513889,0
80,2,-0.7623285986666667,2.1476156976458336,0
81,3,-0.7586769622638889,2.1515452497777776,0
82,3,-0.7704247917222222,2.1277828051111114,0
83,3,-0.7263510802777778,2.172666238423611,0
84,3,-0.7382191886736111,2.1636256095000004,0
85,3,-0.8044122366527778,2.1471276895763887,0
86,3,-0.8283107015902778,2.177318299784722,0
87,3,-0.8277589177708333,2.2182450989861113,0
88,3,-0.7339909407708334,2.268942500145833,0
89,3,-0.7174643944444444,2.359388690847222,0
90,3,-0.7375151009027777,2.4117580834305556,0
91,3,-0.7628843154930556,2.4348747283125,0
92,3,-0.80893472959375,2.5047208360833335,0
93,3,-0.7744451487708334,2.3421412441666667,0
94,3,-0.7658102855972222,2.3622154908055553,0
95,3,-0.7837388552361111,2.3239235629930555,0
96,3,-0.8141798402083333,2.2931390090416666,0
97,3,-0.8035373215486111,2.2609538369652777,0
98,3,-0.7866882776736112,2.2910118765486107,0
99,3,-0.7791210971736111,2.3063230630069445,0
100,3,-0.8002374461874999,2.3615420659305553,0
101,3,-0.7839789233402779,2.298088691298611,0
102,3,-0.7872482774444445,2.3079903605694443,0
103,3,-0.7897109397291666,2.3538988497222224,0
104,3,-0.8155307566805555,2.4070487568402776,0
105,3,-0.861907965625,2.4466085235,0
106,3,-0.9009476026736112,2.469780565972222,0
107,3,-0.9339003632847223,2.4709949013194445,0
108,3,-0.9465840413263888,2.494270455465278,0
109,3,-0.887527032048611,2.3778528471666665,0
110,3,-0.8580984270416666,2.3767471280069445,0
111,3,-0.8494213028421296,2.307997223921142,0
112,3,-0.8636571885222222,2.307152019387037,0
113,3,-0.8717778723324009,2.3425786287141417,0
114,3,-0.863449207201389,2.3233846442569446,0
115,3,-0.8487293641736111,2.3394219941666665,0
116,3,-0.840465200451389,2.3099278907152776,0
117,3,-0.8852297055138889,2.339183054041667,0
118,3,-0.88427121843007,2.251576977167832,0
119,3,-0.8624605697569444,2.310872389239583,0
120,3,-0.8727019408680555,2.261330068125,0
121,3,-0.8823074541111111,2.282832690402778,0
122,3,-0.9018575536805555,2.282241963701389,0
123,3,-0.91166385071875,2.2432636576666667,0
124,3,-0.880395739423611,2.211846065145833,0
125,3,-0.8822253780868056,2.2725540184722224,0
126,3,-0.8649958802708333,2.2404229582604165,0
127,3,-0.8512517549166667,2.2384581632291667,0
128,3,-0.8423054213888889,2.2591231398680556,0
129,3,-0.8673632973055556,2.263429646673611,0
