day,phase,tiltx_11m,tiltx_19m,ar_pred_11m,ar_pred_19m,is_predicted,pcnn_pred_11m,pcnn_pred_19m,q_AB,q_BC,fe_q_AB,fe_q_BC,pcnn_slope_0.0m,pcnn_defl_0.0m,pcnn_slope_0.5m,pcnn_defl_0.5m,pcnn_slope_1.0m,pcnn_defl_1.0m,pcnn_slope_1.5m,pcnn_defl_1.5m,pcnn_slope_2.0m,pcnn_defl_2.0m,pcnn_slope_2.5m,pcnn_defl_2.5m,pcnn_slope_3.0m,pcnn_defl_3.0m,pcnn_slope_3.5m,pcnn_defl_3.5m,pcnn_slope_4.0m,pcnn_defl_4.0m,pcnn_slope_4.5m,pcnn_defl_4.5m,pcnn_slope_5.0m,pcnn_defl_5.0m,pcnn_slope_5.5m,pcnn_defl_5.5m,pcnn_slope_6.0m,pcnn_defl_6.0m,pcnn_slope_6.5m,pcnn_defl_6.5m,pcnn_slope_7.0m,pcnn_defl_7.0m,pcnn_slope_7.5m,pcnn_defl_7.5m,pcnn_slope_8.0m,pcnn_defl_8.0m,pcnn_slope_8.5m,pcnn_defl_8.5m,pcnn_slope_9.0m,pcnn_defl_9.0m,pcnn_slope_9.5m,pcnn_defl_9.5m,pcnn_slope_10.0m,pcnn_defl_10.0m,pcnn_slope_10.5m,pcnn_defl_10.5m,pcnn_slope_11.0m,pcnn_defl_11.0m,pcnn_slope_11.5m,pcnn_defl_11.5m,pcnn_slope_12.0m,pcnn_defl_12.0m,pcnn_slope_12.5m,pcnn_defl_12.5m,pcnn_slope_13.0m,pcnn_defl_13.0m,pcnn_slope_13.5m,pcnn_defl_13.5m,pcnn_slope_14.0m,pcnn_defl_14.0m,pcnn_slope_14.5m,pcnn_defl_14.5m,pcnn_slope_15.0m,pcnn_defl_15.0m,pcnn_slope_15.5m,pcnn_defl_15.5m,pcnn_slope_16.0m,pcnn_defl_16.0m,pcnn_slope_16.5m,pcnn_defl_16.5m,pcnn_slope_17.0m,pcnn_defl_17.0m,pcnn_slope_17.5m,pcnn_defl_17.5m,pcnn_slope_18.0m,pcnn_defl_18.0m,pcnn_slope_18.5m,pcnn_defl_18.5m,pcnn_slope_19.0m,pcnn_defl_19.0m,pcnn_slope_19.5m,pcnn_defl_19.5m,pcnn_slope_20.0m,pcnn_defl_20.0m,pcnn_slope_20.5m,pcnn_defl_20.5m,pcnn_slope_21.0m,pcnn_defl_21.0m,pcnn_slope_21.5m,pcnn_defl_21.5m,pcnn_slope_22.0m,pcnn_defl_22.0m,pcnn_slope_22.5m,pcnn_defl_22.5m,pcnn_slope_23.0m,pcnn_defl_23.0m,pcnn_slope_23.5m,pcnn_defl_23.5m,pcnn_slope_24.0m,pcnn_defl_24.0m,pcnn_slope_24.5m,pcnn_defl_24.5m,pcnn_slope_25.0m,pcnn_defl_25.0m,pcnn_slope_25.5m,pcnn_defl_25.5m,pcnn_slope_26.0m,pcnn_defl_26.0m,pcnn_slope_26.5m,pcnn_defl_26.5m,pcnn_slope_27.0m,pcnn_defl_27.0m,pcnn_slope_27.5m,pcnn_defl_27.5m,pcnn_slope_28.0m,pcnn_defl_28.0m,pcnn_slope_28.5m,pcnn_defl_28.5m,pcnn_slope_29.0m,pcnn_defl_29.0m,pcnn_slope_29.5m,pcnn_defl_29.5m,pcnn_slope_30.0m,pcnn_defl_30.0m
21,1,-0.21107119355319148,1.5170824494184398,-0.21107119355319148,1.5170824494184398,0,-0.25963231552140437,1.535261300443724,5.0199606963446675,5.0671203359475365,1.584746177618813,6.069638268167834,-2.159116930180332e-07,2.572527326297832e-06,0.04381017557633596,0.012635351828024168,0.0704586686391963,0.04096264340009973,0.10992056711304835,0.08555294785834187,0.15110254584387683,0.1511160360776277,0.18343833819950398,0.2350869660489923,0.21024319462984223,0.3336568237268868,0.2332591052533208,0.4447231741263266,0.25053310078692786,0.5659482681933306,0.2612515597321107,0.6941513306327702,0.26626521199630776,0.8262598759038621,0.26490787812857636,0.9593691865047029,0.25477584812966364,1.0896867820781015,0.23607153453065796,1.2126979860475702,0.21101345074109662,1.3247312315522703,0.17800094077232984,1.422390817496987,0.134635245969327,1.5009771660801816,0.08234820830583056,1.5555378502372612,0.023036208867618466,1.5821726626405692,-0.04361157677018298,1.57734350811827,-0.11647437406972974,1.537491184022366,-0.18980194669610623,1.460799333047221,-0.25963231552140437,1.3483278478883667,-0.3278981569548607,1.2013683768723167,-0.3887771326244801,1.0216040777533304,-0.428698514581679,0.8161339070974334,-0.4393798968853434,0.5977865713238693,-0.41392951359188074,0.38273549817703156,-0.33992299984103774,0.191936991446389,-0.20322106431945117,0.05331042398662443,0.0002786119751328276,6.872011175082116e-06,0.24909175322741492,0.06127863512935845,0.5021467963993034,0.24970269891152763,0.7337982968258214,0.5596567522739088,0.9467701066704965,0.9804168413863955,1.1426829248226231,1.5036787105370741,1.3104712062103347,2.1183802281250474,1.4419623322506403,2.8080571083866164,1.535261300443724,3.5539913574202084,1.5875704058967812,4.336490694461937,1.5955880171891612,5.134164454093146,1.5576645477903712,5.924428881852371,1.4724643789965906,6.683917921946762,1.343510745650049,7.389567724792846,1.1780870025953751,8.021404499040989,0.9767999119090981,8.561689991494362,0.7393267141652727,8.992093322470254,0.475301725461781,9.29659974540365,0.19397152160220646,9.464566888563137,-0.10271998508460532,9.487994885249147,-0.4111473353690203,9.359853306023355,-0.7228889252887852,9.076320274714757,-1.0327104839537848,8.637316188721675,-1.3396005817280636,8.044075170718392,-1.6402945051222642,7.298746791810773,-1.9307625642966948,6.405483198611854,-2.205054997172947,5.370625882036297,-2.453696929254535,4.2048523630272445,-2.6894466774400843,2.919197544487767,-2.9303575986706996,1.5139777978682816,-3.098050414647829,-5.912092190323278e-05
22,1,-0.2622841550555555,1.7076861817222222,-0.2622841550555555,1.7076861817222222,0,-0.2857941983619537,1.652675978485339,5.017504935428742,5.056515766577512,1.9692588324210336,6.832217591453881,1.9433655354133444e-08,2.037372732018454e-06,0.03705323570788234,0.010446615572841086,0.06292098006943608,0.03515336054875941,0.10215259426784984,0.07586822154798797,0.14552204401030916,0.13796208256249165,0.18274755801342665,0.22027997315901657,0.2158930395836604,0.3200489928312173,0.24596279595350798,0.43568400573114646,0.27049381324788857,0.5650788143179826,0.28808938969723463,0.7050087571291799,0.2991211221434033,0.8520842837300101,0.3025541737456581,1.0028784710055103,0.29557748236656356,1.1528842248621807,0.27813356716710663,1.2966907699909405,0.252465155484682,1.4296802666537078,0.2168559949400256,1.5475051360934768,0.16870510929916105,1.6444138281150324,0.10959543524409977,1.714381541535354,0.041725174581985894,1.7525687698868224,-0.0350726388145362,1.7546100628952914,-0.11936392163416697,1.716209037334789,-0.20451248526605934,1.6351111542144723,-0.2857941983619537,1.5124034801536588,-0.3650848755230901,1.3495827415289106,-0.43562817105171897,1.1487126434976551,-0.48197570900200754,0.9180433445487515,-0.49467635459989673,0.6723543490869901,-0.46600523876769817,0.43021800848435526,-0.3822441670252406,0.21551812811369528,-0.22804992152605785,0.05976944899226744,0.0003117312418497825,7.689713513457138e-06,0.27774513642399645,0.06841142394999856,0.5575784743555192,0.27803361372063273,0.8110065673558084,0.6213627423512177,1.0411924225693234,1.0851988205030243,1.2501782219633097,1.6591256708566906,1.4261661343320673,2.329840372887722,1.5607894182958304,3.0783497473089665,1.652675978485339,3.883522536747926,1.6994754725109198,4.7235154422154055,1.6982843857915253,5.574983081468159,1.6479589707219833,6.413618708928523,1.5476344821605152,7.214575183219019,1.401593997233422,7.953599005478635,1.2180178426255412,8.60997206542161,0.9978140444176671,9.165525548415545,0.740867633417405,9.601577219618472,0.4576279924962029,9.902020677372088,0.15801774795486268,10.056536588163725,-0.15585509503745104,10.057644115297284,-0.4801080623364998,9.898911941940398,-0.8058266517569904,9.577318709890266,-1.1275227934180547,9.09378929298729,-1.4441833367454677,8.450610820510281,-1.7524401414498116,7.651005265573833,-2.048161341950695,6.7002583179738275,-2.3252592638546905,5.605891639990579,-2.574052272078808,4.379872517374648,-2.8080693082210564,3.034425212033093,-3.0461819268811756,1.5705310021048566,-3.207320336774954,-6.120615361114823e-05
23,1,-0.3068887537291667,1.751308311201389,-0.3068887537291667,1.751308311201389,0,-0.32099315447738885,1.7273035000943884,5.022153059418115,5.068366767258831,2.3041551584533826,7.006743733080014,1.429750378377479e-07,2.000808173236204e-06,0.03793476390288169,0.010547665900858429,0.06641998398785312,0.036294783801925995,0.11000356378790294,0.07976441324328033,0.15916690866429928,0.147201553767576,0.20236230758668886,0.23784366662311876,0.24112942752910616,0.34884457036831334,0.27616447383153214,0.4783764158987985,0.30450923210859365,0.623882730309594,0.3244690905218204,0.7814728258965461,0.336430604223695,0.9470293546436,0.33931860637892075,1.1164076109304473,0.33014142599910196,1.2843154161599064,0.3090098202660743,1.4445336190722313,0.2786041981409074,1.591816558524233,0.23720024569494855,1.7213113591690576,0.18209387479876174,1.8266975064123,0.1152046944841655,1.9014392063973617,0.039097503601480836,1.9403876593702134,-0.046301578531946455,1.938978494038116,-0.13932091882819042,1.8927742883074041,-0.232612439635695,1.7996213516774606,-0.32099315447738885,1.6610488815380515,-0.4065413592128681,1.4790279526671384,-0.4819105085362336,1.2561349953223864,-0.5303664384431257,1.0016650787000618,-0.5418556733499148,0.731940608538425,-0.5083127267734112,0.4672674056069549,-0.41529953070582726,0.23352712405413034,-0.2468261589337785,0.06460729766404257,0.0003360812292547287,8.291410607764995e-06,0.2983250457774198,0.07357490196083101,0.5965114179424245,0.29823384851605705,0.8641126740717459,0.664744836677852,1.1049003488753477,1.1579127668975233,1.321443631009307,1.765714454594916,1.501651161071191,2.473260040895877,1.6372241540914034,3.259875683572816,1.7273035000943884,4.1029186454324,1.7699544247052863,4.979279083125395,1.7626150873313604,5.8645243918604395,1.7045107400407147,6.733442087524763,1.5950813700365136,7.5604462054088275,1.4390538364091243,8.320721524004073,1.2450958699452443,8.993240172475574,1.014204452159936,9.559675726446454,0.746276533785722,10.00118374115754,0.452132015570617,10.301593380749527,0.14197443436059337,10.450709025890127,-0.18212015828991435,10.441227100811671,-0.5162369758866124,10.266877656429289,-0.8512618503301345,9.924866689265377,-1.1816305922410393,9.416426473358111,-1.506394429217298,8.744145002630743,-1.8221593652548225,7.911530478474763,-2.124735921946329,6.924181980064389,-2.4079109794726747,5.789970194268393,-2.66176166948044,4.521319268274747,-2.9002972581606725,3.130887861145547,-3.143010938402876,1.6197177068745363,-3.306356281214995,-6.309608408552997e-05
24,1,-0.31041459513888886,1.7611046540972222,-0.31041459513888886,1.7611046540972222,0,-0.329145410899252,1.7345858715515043,5.007648417957347,5.071593709431451,2.3306275709265667,7.045937553924383,3.067367841671141e-07,1.556565335560266e-06,0.031963660072767366,0.00866199737187896,0.05912044482734335,0.031064650648479245,0.1014327142773029,0.07054463227904613,0.15100661011365565,0.13369722604382692,0.19672080170149214,0.22082316448752864,0.23905364214765182,0.32986902537493673,0.27805437762644775,0.45934544884377665,0.31039347569826814,0.6068024628963405,0.3339674848302484,0.7682621788617275,0.348837211900693,0.9393287687861908,0.35376139366403453,1.1154579882031728,0.3456462694013927,1.2908949867137782,0.3245688586829042,1.4589198579603073,0.29331117097770437,1.6138041961290452,0.25025912327396704,1.7502721971746888,0.19279457099750774,1.861624972475212,0.12301271271696017,1.9410114565910273,0.04368539019584512,1.9830690888887696,-0.04511698012055735,1.983108030550262,-0.14156104845781428,1.9366359011267376,-0.2380292197050518,1.8415524616093821,-0.329145410899252,1.6995690012656244,-0.41699307694908233,1.512877989475298,-0.4940503402478886,1.2843040349344805,-0.54324737880584,1.0235348575708711,-0.5544045490941543,0.7474081034747037,-0.519432499741531,0.476770549950349,-0.42380851066362096,0.23807210705387102,-0.2515228984365803,0.06580347835569822,0.0003419458080071619,8.436521645458574e-06,0.3030662706746005,0.07478387549229752,0.6049815305676246,0.3028034449151874,0.8748729292108957,0.6741797818176203,1.116735325543679,1.1730407381116026,1.333351744368633,1.786818540255881,1.5126990012950803,2.500139678194453,1.6466471026971183,3.291899684859478,1.7345858715515043,4.139135615371246,1.7747933949383705,5.0185351438636285,1.764889299051499,5.905560174744176,1.704260976868461,6.774979404777461,1.5924766532393522,7.601260421115662,1.4343776083331286,8.359701532438123,1.2387125689913485,9.02943933233678,1.0064975002226206,9.592336387072761,0.7376336053504009,10.029740462247002,0.4429519248405016,10.325677788247628,0.13263981316079707,10.470149552005088,-0.19126341155171037,10.45603448693089,-0.5248760164199476,10.277227070060585,-0.8591164883880145,9.93108177221567,-1.1884576528661246,9.418961746441914,-1.511983965393518,8.74356798866181,-1.8263301844600703,7.908506412254887,-2.127334278242148,6.919459765684631,-2.408812515653905,5.784368591106691,-2.660879790265528,4.515709774707366,-2.8975509875927816,3.12618126182596,-3.138296238470956,1.616872838912294,-3.2997395442825006,-6.29698156999286e-05
25,1,-0.33575680108333333,1.7632573528541666,-0.33575680108333333,1.7632573528541666,0,-0.3320239134348496,1.724637743206642,5.014899996828693,5.0675557733095085,2.5208996934593197,7.054550205636224,3.04382276109272e-07,1.6046658579739308e-06,0.03278342647879591,0.0088992972301379,0.060389922713741995,0.03182270268417437,0.10329084522358292,0.07208064853902987,0.1533462492781272,0.136294018845132,0.19926454778699934,0.22465085663402296,0.24162316217203555,0.3349803211811856,0.2805383189858197,0.4657244639824978,0.31268864626506365,0.6143803818116531,0.3359879580508395,0.77692197877505,0.35052136109495724,0.9489170925925869,0.355042021606683,1.1257909103672163,0.3464287974385406,1.3017479272337547,0.32476647587777174,1.4700205993164879,0.2928747103620357,1.624846845286726,0.24914761764137924,1.7609295840486658,0.19098537667434906,1.8715519663412747,0.12055298994572501,1.9498675114235893,0.040696923918012384,1.9905568313712696,-0.04846002151511239,1.9890046041186076,-0.1450294508491921,1.94081876333569,-0.24134131426866254,1.8440279570707157,-0.3320239134348496,1.700486277164093,-0.41920863417374005,1.5125130769061228,-0.4954223248934929,1.2830362488797422,-0.5436988041790404,1.0218111143440833,-0.5540132943855566,0.7456758557844299,-0.5184330308662003,0.47539902161453285,-0.42259367594920405,0.23727379925903871,-0.25062700059205656,0.06555723581439124,0.00034055891957672475,8.402412008187634e-06,0.3017457694067242,0.07446494678908547,0.6022207726453597,0.30146344327466157,0.8707450446928088,0.6711136615572812,1.1113079397183458,1.167584119898781,1.3266641022055023,1.7783311107478923,1.5048220721606795,2.4880073542316743,1.6376784993517668,3.2755517009171022,1.724637743206642,4.118053167119516,1.764021697580555,4.992264868519067,1.7535196789202137,5.873743629620935,1.6925963474148034,6.737389906018036,1.5809035324819982,7.557843877558101,1.4233316246398413,8.310611857291978,1.228634719095814,8.975050072687463,0.997856885212666,9.533247047841892,0.7309135845357271,9.966791902061496,0.438548221414064,10.25993451202196,0.13083218289161402,10.402843584904899,-0.19027505238853037,10.388517098506775,-0.5209983565433919,10.210925370234838,-0.8524098851901714,9.867431775335813,-1.179109894400189,9.359335053500288,-1.500269076641358,8.68922020530282,-1.812615030771592,7.860533377155463,-2.1120677123625433,6.878752226084367,-2.392517102626454,5.751575222658898,-2.644144632818762,4.491198276207306,-2.88086352064961,3.1100413398350466,-3.1220335567966524,1.6089891739241837,-3.2846570178612255,-6.268199105208162e-05
26,1,-0.31424548188194446,1.7035439469861111,-0.31424548188194446,1.7035439469861111,0,-0.31600444090624985,1.7195797473261298,5.010298319820956,5.06362975800349,2.359390297951266,6.815645079867796,3.1243545173211993e-07,1.4170825346548123e-06,0.02950717424015557,0.007961876142000529,0.055065135054237574,0.028752050790378073,0.09500181617721919,0.06564141261324438,0.14208479233498478,0.12493689285515572,0.1859061640485049,0.20710348403197565,0.2268404465970931,0.310375212942193,0.26489007746966475,0.4334858281912657,0.29686880641582714,0.5742436938036672,0.320707102353593,0.728982945853421,0.3363634451719237,0.8935961562848679,0.34255684686995586,1.0637847789746475,0.33622294503500033,1.2340443460286121,0.3173045323385273,1.3978871030126028,0.2883599885135717,1.5497131494434293,0.24776434707875955,1.6843120204069992,0.19291935431886195,1.795067641477121,0.12577454158767412,1.8751787626854424,0.048973282262005265,1.9192542164954869,-0.03742731883032065,1.9225428076151942,-0.13165098530029376,1.8804815239693484,-0.22627349989987303,1.790834230505227,-0.31600444090624985,1.6550917739835396,-0.4028115259978729,1.4752452760811015,-0.4793017993611612,1.253930697391291,-0.5287075685284998,1.000519541656214,-0.540930773338017,0.7314313482746879,-0.5078875547188292,0.4670859946668168,-0.4151550596065877,0.2334797093045421,-0.246791609115064,0.06459908901784331,0.0003360293100703347,8.290158839189396e-06,0.2982223797866731,0.07355530549991295,0.5960979704971661,0.2980960635499454,0.8631025315039239,0.664263865638579,1.1029803272531857,1.1567124846662213,1.3183103449827243,1.763262509403188,1.4970713423676572,2.468887359800063,1.6310751457157548,3.2528234804446154,1.7195797473261298,4.0923959777954835,1.7607744538851529,4.964522867946558,1.752221211080816,5.84486226744136,1.6932516799249557,6.70835017566073,1.5833940338888137,7.529598126325371,1.427414092788324,8.284021969857314,1.2339665001456455,8.950829282935855,1.004053252099262,9.51192472819329,0.7375703094382056,9.948700083573614,0.4452541003842915,10.245200090763925,0.1372120458559605,10.391394940954681,-0.18452873741780443,10.380111248222837,-0.51611470060013,10.205184782868029,-0.84852832197506,9.863886307009007,-1.176275116877327,9.357468635093984,-1.4984384205952437,8.688516672299054,-1.8116677885082801,7.860517800914901,-2.111817425009809,6.879027100251053,-2.3927265515062133,5.751849553673922,-2.6445445314740326,4.491308791250919,-2.881181877767506,3.109961098272607,-3.12199728544165,1.6088267870243977,-3.2840089604711924,-6.266962424872021e-05
27,1,-0.317198505993007,1.6764221308321678,-0.317198505993007,1.6764221308321678,0,-0.3211470005136782,1.694292049328806,5.013354754154857,5.073944454517299,2.381561933945939,6.707134422920118,3.343154393224122e-07,1.4577426404576088e-06,0.030528035915630032,0.008222708475505484,0.05714060994280744,0.029772161622362882,0.09870092392327388,0.06808057814632464,0.1476288158595011,0.1296937806738339,0.19292195063005774,0.2150208731601843,0.23482874954076396,0.3220647978413529,0.27328775632908314,0.44929821435629447,0.3049914281377464,0.594215940199554,0.3278827986535002,0.752805055821582,0.3420738438048881,0.9206578960259907,0.3464273326473296,1.093255082312465,0.338005932031289,1.2649345539238903,0.31697644712438505,1.4291363685494503,0.2861233407550148,1.580310142194925,0.2439042146725404,1.7133721749959911,0.18777615641062578,1.8218610029821263,0.11976463436197111,1.8991655843805506,0.04252321737191476,1.9401091540274582,-0.043944611001176005,1.9401417170568007,-0.13792509468674322,1.8948709041246918,-0.23206030772853578,1.8021998829952792,-0.3211470005136782,1.6637204566756048,-0.40723077269184527,1.4814812620113962,-0.48295578968567854,1.2581470283403762,-0.5315708334980512,1.0031057602801885,-0.5429897210855533,0.7327866948798636,-0.5091464987179278,0.46761274685923343,-0.4156757994743009,0.23356635768997824,-0.2467920992739296,0.06456966874600567,0.00033554732511549806,8.278672416629646e-06,0.2973345310331394,0.07337633337808731,0.5932605667942376,0.2970292043538504,0.8573686951790931,0.6610895395756099,1.0935873053561103,1.1497845865716947,1.3047231896990936,1.7506047380565224,1.4791555079950516,2.4483496740130573,1.6091401321414591,3.2223021203426176,1.694292049328806,4.050034537748593,1.7331104838228033,4.908876832279403,1.7234073582360527,5.775041970899585,1.6646573903237287,6.6241188660316,1.5564428358690836,7.431421843320485,1.4034093905999094,8.173057780971217,1.2139460232839452,8.828820392811553,0.988880427329108,9.381083816310259,0.7279330909119636,9.81163467564177,0.44146165284425515,10.104773159636451,0.13922656643777084,10.25052949078977,-0.17691486780682014,10.24166438135052,-0.5032767902908545,10.071871066390637,-0.8310500723300172,9.738179298083775,-1.154840006349247,9.2415185451724,-1.4737235341193893,8.584132175227564,-1.7843547320348947,7.769168851443521,-2.0825774496436322,6.80184369943658,-2.36222256968414,5.689630613028199,-2.6134472455000086,4.44451562798545,-2.849896283545788,3.0787711723723774,-3.090669322916356,1.5933010834705577,-3.253515535793647,-6.208770919445654e-05
28,1,-0.35556019303472225,1.6840630794375,-0.35556019303472225,1.6840630794375,0,-0.3083151918142304,1.7010347486933615,4.9925646415436455,5.065933035129846,2.6695857797534304,6.737704807593547,4.837608524787297e-07,9.089108327340892e-07,0.022418388173338452,0.005759376053241731,0.045791262804317494,0.022447248368931933,0.08296728037710495,0.05401686366774294,0.12851450926820088,0.10681787173845202,0.17280937714905775,0.18225427497173652,0.21519188345967966,0.2793170562607438,0.25508619859208775,0.3970517542945082,0.28914950638452996,0.5334226220900827,0.3150739691018956,0.6848300371454434,0.33255844949414276,0.8470976173800593,0.34025549026059065,1.015771950284759,0.3351591402408352,1.1852008645087413,0.31718568736432795,1.3487618183027557,0.2888710803831476,1.5006968537012044,0.24875464306986528,1.6356727629814831,0.1944119106002333,1.7470463723092187,0.12784732215458774,1.8280449815312851,0.051756554653033596,1.8733270506966118,-0.03370563291965298,1.8782306631687191,-0.1267296520292945,1.8383205661459887,-0.21999911542067288,1.7514689491993531,-0.3083151918142304,1.619214307737118,-0.3936217596819191,1.4435851008453762,-0.4687157958099714,1.22722711894182,-0.517226646287637,0.9793605853122248,-0.5293212136830909,0.7160806419931615,-0.4971207107397136,0.45737544613130005,-0.40649527670869157,0.22868498172236626,-0.24175659119324924,0.0632935308962641,0.00032938327825088467,8.126009380973823e-06,0.292545147297701,0.07213545637571901,0.585301417429624,0.29251411629913476,0.8483854568615117,0.6522523423959263,1.0854467695983447,1.1365968513028717,1.2989611116248647,1.7338827084064787,1.4769987629814683,2.4296056678108098,1.6113317207344344,3.203547421455607,1.7010347486933615,4.033515485156226,1.7441274145962367,4.896818326982332,1.738016023869228,5.7694254835577095,1.6818727204147303,6.626504250659027,1.5750920655727496,7.442824353691456,1.4222882809216075,8.193890645223162,1.2319745588833877,8.858921863831316,1.0051175165224489,9.419788382879439,0.7415984753166933,9.857842192612857,0.45206274438069416,10.157061133675995,0.14654766739074862,10.307303001273565,-0.17293036076697565,10.301264085969121,-0.5025528792029018,10.132641634762015,-0.8333781006046823,9.79853827447668,-1.159965891257151,9.3000039654991,-1.4814301277650241,8.639401372610827,-1.794466712544853,7.819977003488083,-2.0949737241864534,6.8470211272311445,-2.3768296235720054,5.72805431361508,-2.630211921128469,4.475096005688634,-2.8689501734305685,3.10040897049821,-3.1123391808247947,1.6047686516842952,-3.2775595502366692,-6.2546547078248e-05
29,1,-0.32000745111458334,1.7035169005208333,-0.32000745111458334,1.7035169005208333,0,-0.3048383867170061,1.6998693263343518,4.9855447080211075,5.063760371813294,2.402651808739476,6.815536870679342,5.251222475761952e-07,6.861256764442517e-07,0.01892549694145848,0.004720274250534841,0.040665886400705065,0.019257712940345798,0.07566729386216854,0.047735953491902586,0.11951044003934318,0.09641310340415545,0.1632917399172276,0.16717445013535234,0.20601499299271622,0.2595350533362366,0.24690306845032578,0.37290272514001493,0.28259569839169757,0.5055644518343092,0.31064148808190223,0.6542098231953882,0.3305005276162267,0.8148485934279359,0.34065762685349343,0.9831077168895841,0.3379821232980619,1.1533481306840434,0.3221836391209514,1.3188795328732041,0.295610066783019,1.4737686504739747,0.25675580635908435,1.6124497012927324,0.2031691029544632,1.7280351942550003,0.13680620707128405,1.8134862733304324,0.06037630299139673,1.8631842896101847,-0.025897294627915637,1.872212991074455,-0.12012540819604518,1.835920554503708,-0.2148858739185155,1.7520074131865357,-0.3048383867170061,1.6219035078679185,-0.39180635415073123,1.4475962384952916,-0.4684652220344902,1.2317474294147612,-0.5182787644233344,0.9836662209995867,-0.5312754554048489,0.71961587718967,-0.49948083113082775,0.459809521322344,-0.4086766715131323,0.2299576980189933,-0.2431229830332963,0.06365296316474037,0.00033124987581337195,8.172086090237204e-06,0.2941415808770173,0.07253551210913099,0.5882447619183886,0.29406819688178265,0.8521204940506982,0.6555014970984882,1.0893640028653158,1.1417843641548513,1.3024404535922676,1.7409458362236734,1.4794127073851486,2.4381672689219274,1.6121417808607699,3.212934304566035,1.6998693263343518,4.042825112657009,1.740808132509262,4.905009957063265,1.732572538500977,5.775420789313969,1.6745401938708027,6.62929170988483,1.56628884501142,7.441557116644121,1.412566436116003,8.187967374318637,1.221946567987827,8.848035036276796,0.9954194101800685,9.403943238588393,0.7328554383743429,9.837362055530786,0.4448024195825971,10.132561127245527,0.14115889403194157,10.279627154404348,-0.17618025330105083,10.271419965894017,-0.5035319938450866,10.101738080827717,-0.8321142753133549,9.767710189126388,-1.1566170270660736,9.27033764225451,-1.4762428981406044,8.611881053789256,-1.7877681300557087,7.7954432781648935,-2.087151420679017,6.826134657134427,-2.3683142174046443,5.71127116214941,-2.621459453523588,4.462648177403309,-2.8603373192377117,3.0923153517291544,-3.104168196720136,1.6008849933633797,-3.270299918918433,-6.24080090905029e-05
30,1,-0.3012205112847222,1.725286326451389,-0.3012205112847222,1.725286326451389,0,-0.32682362943762827,1.7299127383895727,5.00168806137689,5.045747605027485,2.2615973588956404,6.9026333503431845,4.0911307967292505e-07,1.2427504635055406e-06,0.027576119362021312,0.007298610219851145,0.0534313998063066,0.02717149742447306,0.094200282332667,0.06341959183188714,0.14313519233732325,0.12273297606804837,0.1895570972109786,0.2060577024031982,0.23325966085064287,0.311848386277581,0.2738976348958275,0.43882920923177227,0.30799905710504305,0.584646454141447,0.3332793273187945,0.7453421636360779,0.3496247308361803,0.9164453685002018,0.3557378817525804,1.0932772597401235,0.3485388801682796,1.2699429526188786,0.3280830126974296,1.4395826046799713,0.2971449601683804,1.5963152981007065,0.2541931950880843,1.7347322668190712,0.1966892203728154,1.8480472406135136,0.12675632302951875,1.9293475024661864,0.04719748095811599,1.9732214282257372,-0.041871082859911084,1.9749505600536736,-0.13859603013146915,1.9300319367819891,-0.23537370991328863,1.8363551029748733,-0.32682362943762827,1.6956162885134494,-0.4150025362771283,1.510003192971527,-0.49240386104903316,1.2823397342205918,-0.5419754389162822,1.0223011150998418,-0.5535091367834196,0.7467153816278128,-0.5188752871197928,0.4764386601701015,-0.4235186575482925,0.23794845501483294,-0.2514105312760783,0.06577666001555024,0.0003418178929872482,8.43336925913031e-06,0.30292358712622064,0.07475209445239506,0.604548300184853,0.3026356515195589,0.8739449015137281,0.6736803994163767,1.1151109084605013,1.1719111347389803,1.3308756756323654,1.7846684084744766,1.5093315206619673,2.4965271661200936,1.6425005623320228,3.2864009155857534,1.7299127383895727,4.131418709708624,1.7699704710540958,5.0084261900851414,1.7603883672872658,5.8930993018053845,1.700597044156567,6.760455599970353,1.5901556403367834,7.5852204042827305,1.4338175422487625,8.342926822990792,1.24017955095637,9.012883424730164,1.0101168962553693,9.577049605180989,0.7433763254867681,10.01679954644354,0.45058073936720694,10.316093967546065,0.14173648346820303,10.46476734191705,-0.18123791217710006,10.455457449888211,-0.5145620456355738,10.28176350188329,-0.8492287973872534,9.940699222844325,-1.179730430067523,9.433263308066072,-1.5051335421298035,8.761793170522418,-1.8220323494730772,7.929545589492213,-2.1261963739687197,6.941881429977329,-2.4113420673598966,5.806460711857839,-2.6674388094980954,4.5355419081785,-2.9084301337698633,3.1416671215338576,-3.1538115074973843,1.6257702299790613,-3.31965835139383,-6.334993038841175e-05
