day,phase,tiltx_11m_meas,tiltx_19m_meas,net_udl_AB,net_udl_BC,expected_slope_11m,expected_slope_19m,residual_11m,residual_19m,slope_0.0m,slope_0.5m,slope_1.0m,slope_1.5m,slope_2.0m,slope_2.5m,slope_3.0m,slope_3.5m,slope_4.0m,slope_4.5m,slope_5.0m,slope_5.5m,slope_6.0m,slope_6.5m,slope_7.0m,slope_7.5m,slope_8.0m,slope_8.5m,slope_9.0m,slope_9.5m,slope_10.0m,slope_10.5m,slope_11.0m,slope_11.5m,slope_12.0m,slope_12.5m,slope_13.0m,slope_13.5m,slope_14.0m,slope_14.5m,slope_15.0m,slope_15.5m,slope_16.0m,slope_16.5m,slope_17.0m,slope_17.5m,slope_18.0m,slope_18.5m,slope_19.0m,slope_19.5m,slope_20.0m,slope_20.5m,slope_21.0m,slope_21.5m,slope_22.0m,slope_22.5m,slope_23.0m,slope_23.5m,slope_24.0m,slope_24.5m,slope_25.0m,slope_25.5m,slope_26.0m,slope_26.5m,slope_27.0m,slope_27.5m,slope_28.0m,slope_28.5m,slope_29.0m,slope_29.5m,slope_30.0m
21,1,-0.21107119355319148,1.5170824494184398,1.584746177618813,6.069638268167834,-0.336914506791709,1.8050991750436354,0.1258433132385175,-0.28801672562519554,-0.0,0.06955755242093223,0.12472388709960089,0.16652694816045396,0.19599467972794202,0.21415502592651153,0.22203593088061063,0.22066533871468552,0.21107119355318277,0.19428143952055008,0.17132402074123365,0.14322688133968003,0.11101796544033297,0.07572521716764098,0.03837658064605442,1.9549746824245047e-14,-0.03837658064601826,-0.0757252171676103,-0.11101796544030781,-0.1432268813396625,-0.17132402074122713,-0.19428143952055246,-0.21107119355319165,-0.22066533871469896,-0.22203593088062928,-0.21415502592653388,-0.19599467972796586,-0.16652694816047695,-0.12472388709961803,-0.06955755242094155,-0.0,0.4066660242331452,0.743449141518591,1.0142864170365073,1.2231149159670396,1.3738717034903465,1.4704938447865843,1.5169184050359008,1.51708244941844,1.4749230431143594,1.3943772513038029,1.2793821391669153,1.1338747718838251,0.9617922146346929,0.7670715325996913,0.5536497909589645,0.32546405489264885,0.08645138958090536,-0.15945113979609943,-0.408306468058213,-0.6561775300252838,-0.8991272605171425,-1.1332185943536452,-1.354514466354654,-1.559077811340048,-1.7429715641296604,-1.9022586595433548,-2.0330020324009497,-2.131264617522281,-2.193109349727192,-2.2145991638355307
22,1,-0.2622841550555555,1.7076861817222222,1.9692588324210336,6.832217591453881,-0.336914506791709,1.8050991750436354,0.07463035173615346,-0.09741299332141318,-0.0,0.08643455109784594,0.15498609162372215,0.20693197947562672,0.24354957255156087,0.26611622874952195,0.27590930596750846,0.2742061621035174,0.2622841550555446,0.24142064272158928,0.2128929829996475,0.17797853378771625,0.13795465298378848,0.09409869848586375,0.04768802819194348,2.428917561701431e-14,-0.0476880281918986,-0.0940986984858257,-0.13795465298375725,-0.17797853378769435,-0.2128929829996395,-0.2414206427215923,-0.26228415505555586,-0.27420616210353366,-0.27590930596753166,-0.26611622874954954,-0.24354957255159038,-0.2069319794756547,-0.15498609162374338,-0.08643455109785782,-0.0,0.4577588715926873,0.8368548632747206,1.1417196865903798,1.37678505308392,1.546482674299612,1.6552442617817218,1.7075015270745078,1.7076861817222222,1.6602299372691343,1.5695645052594964,1.4401215972375632,1.27633292474757,1.0826301993337892,0.8634451325405057,0.6232094359119732,0.36635482099243616,0.09731299932616708,-0.1794843175425556,-0.459605418069469,-0.7386185907103116,-1.0120921239208016,-1.2755943061566857,-1.5246934258737177,-1.7549577715276707,-1.9619556315742652,-2.141255294469257,-2.2884250486683517,-2.399033182627271,-2.4686479848017497,-2.492837743647524
23,1,-0.3068887537291667,1.751308311201389,2.3041551584533826,7.006743733080014,-0.336914506791709,1.8050991750436354,0.030025753062542293,-0.053790863842246406,-0.0,0.10113379384255727,0.18134335447630795,0.24212326998759576,0.28496812846276715,0.31137251798816545,0.3228310266501346,0.3208382425350172,0.30688875372915414,0.28247714831889054,0.24909801439056742,0.20824594003052696,0.16141551332510728,0.11010132236065356,0.05579795522351331,2.8417043114656915e-14,-0.055797955223460774,-0.11010132236060906,-0.16141551332507076,-0.20824594003050126,-0.24909801439055787,-0.2824771483188938,-0.30688875372916713,-0.32083824253503607,-0.32283102665016145,-0.3113725179881973,-0.2849681284628014,-0.2421232699876283,-0.18134335447633299,-0.10113379384257137,-0.0,0.46945213056531354,0.8582319708438783,1.170884438598346,1.4119544515913431,1.5859869275855119,1.6975267843434902,1.7511189396279079,1.751308311201389,1.7026398168265737,1.6096583742660862,1.476908901282552,1.3089363156385778,1.1102855350968075,0.8855014774198983,0.6391290603704749,0.3757132017111533,0.09979881920457763,-0.1840691693866017,-0.47134584629975035,-0.757486293772235,-1.0379455940414022,-1.308178829344627,-1.5636410819192923,-1.7997874340028002,-2.0120729678324993,-2.1959527656457754,-2.346881909679959,-2.460315482172403,-2.531708565360469,-2.5565162414815212
24,1,-0.31041459513888886,1.7611046540972222,2.3306275709265667,7.045937553924383,-0.336914506791709,1.8050991750436354,0.02649991165282012,-0.04399452094641321,-0.0,0.10229571885257915,0.18342680621841623,0.24490502148942148,0.2882421240575088,0.31494987331458746,0.3265400286525692,0.3245243494633626,0.3104145951388761,0.2857225250710209,0.25195989865170554,0.21063847527283852,0.16327001432632504,0.11136627520407687,0.05643901729800854,2.874333696304532e-14,-0.05643901729795539,-0.11136627520403182,-0.16327001432628796,-0.21063847527281263,-0.25195989865169577,-0.2857225250710244,-0.3104145951388891,-0.32452434946338193,-0.3265400286525963,-0.31494987331461977,-0.2882421240575433,-0.24490502148945442,-0.18342680621844148,-0.10229571885259346,-0.0,0.47207811824251605,0.8630326873235402,1.1774340480409209,1.4198525411924816,1.594858507576061,1.7070222879894943,1.7609142232306076,1.7611046540972222,1.7121639213871747,1.6186623658982864,1.4851703284283793,1.316258149775257,1.1164961707367598,0.8904547321107422,0.6427041746950256,0.37781483928742277,0.1003570666857745,-0.1850988023120718,-0.47398242690828496,-0.761723466305035,-1.043751579704471,-1.315496426308772,-1.572387665320124,-1.8098549559407324,-2.0233279573727487,-2.2082363288183626,-2.360009729479707,-2.474077818558938,-2.54587025525822,-2.5708166987797227
25,1,-0.33575680108333333,1.7632573528541666,2.5208996934593193,7.0545502056362235,-0.336914506791709,1.8050991750436354,0.0011577057083756448,-0.04184182218946875,-0.0,0.11064712762972484,0.19840174609467742,0.2648990346209132,0.3117741724344906,0.3406623387614647,0.35319871282789184,0.35101847385982576,0.3357568010833197,0.3090488737244302,0.27252987100920995,0.22783497216371346,0.17659935641398952,0.12045820298609575,0.06104669110609175,3.108859443306774e-14,-0.06104669110603426,-0.12045820298604706,-0.1765993564139495,-0.2278349721636854,-0.2725298710091995,-0.3090488737244336,-0.3357568010833338,-0.3510184738598466,-0.35319871282792115,-0.3406623387614996,-0.31177417243452793,-0.26489903462094877,-0.19840174609470485,-0.1106471276297404,-0.0,0.47265516627651954,0.8640876214462122,1.1788732928953958,1.4215881080103638,1.5968079941774245,1.7091088787828819,1.7630666892130324,1.7632573528541666,1.7142567970925908,1.6206409493145957,1.486985736906473,1.3178670872544958,1.1178609277449743,0.891543185764232,0.6434897886985603,0.3782766639342414,0.10047973885758577,-0.18532505914508968,-0.47456180268748416,-0.762654564383298,-1.0450274168462113,-1.3171044326899324,-1.5743096845281788,-1.8120672449746855,-2.0258011866431356,-2.2109355821472474,-2.3628945041006864,-2.4771020251171367,-2.5489822178102957,-2.5739591547938607
26,1,-0.31424548188194446,1.7035439469861111,2.359390297951266,6.815645079867796,-0.336914506791709,1.8050991750436354,0.022669024909764524,-0.10155522805752426,-0.0,0.10355817016563149,0.18569051202113077,0.24792744187436458,0.291799376033203,0.3188367308055121,0.3305699224991599,0.3285293674220116,0.3142454818819316,0.2892486821867882,0.25506938464444556,0.21323800556276945,0.16528496124962083,0.11274066801286828,0.057135542160382684,2.9097860786687875e-14,-0.05713554216032888,-0.11274066801282269,-0.16528496124958342,-0.21323800556274322,-0.2550693846444358,-0.2892486821867916,-0.31424548188194484,-0.32852936742203087,-0.3305699224991875,-0.31883673080554487,-0.2917993760332379,-0.24792744187439797,-0.18569051202115633,-0.10355817016564596,-0.0,0.4566485126057908,0.8348249532591436,1.138950283760214,1.3734454659091317,1.5427314615060428,1.6512292323510884,1.7033597402444018,1.7035439469861111,1.65620281437636,1.5657573042152766,1.4366283783029898,1.2732369984396112,1.0800041264252875,0.8613507240601792,0.6216977531444149,0.36546617547811444,0.09707695286142523,-0.17904895290549902,-0.45849058002252047,-0.7368269666895022,-1.0096371511062876,-1.272500171472748,-1.520995065988762,-1.7507008728542277,-1.9571966302689903,-2.136061376432931,-2.282874149545879,-2.393213987807682,-2.4626599294181992,-2.486791012577292
27,1,-0.317198505993007,1.6764221308321678,2.381561933945939,6.707134422920118,-0.336914506791709,1.8050991750436354,0.019716000798702005,-0.12867704421146753,-0.0,0.10453132583859513,0.18743548081403108,0.2502572628451051,0.2945414698506178,0.3218328997493659,0.33367635046014743,0.33161661990175845,0.31719850599299393,0.2919668066526523,0.2574663197995289,0.21524184335241917,0.16683817523011502,0.11380011335141528,0.05767245563512158,2.9371144094021417e-14,-0.05767245563506726,-0.1138001133513693,-0.16683817523007718,-0.2152418433523926,-0.25746631979951895,-0.29196680665265573,-0.31719850599300714,-0.331616619901778,-0.3336763504601752,-0.3218328997493989,-0.2945414698506531,-0.2502572628451387,-0.18743548081405698,-0.10453132583860977,-0.0,0.44937829393736295,0.8215338556369916,1.1208172615630014,1.3515790881794834,1.518169911950543,1.6249403093402819,1.6762408568127942,1.6764221308321678,1.629834707862507,1.5408291643679004,1.4137560768124378,1.252966021660191,1.0628095753752667,0.8476373144217858,0.6117998152638374,0.3596476543655018,0.0955314081908867,-0.17619834679589416,-0.4511910341307425,-0.7250960773495612,-0.9935628999882333,-1.25224092558267,-1.4967795776687898,-1.7228282797825285,-1.9260364554597722,-2.102053528236441,-2.2465289216484043,-2.3551120592315504,-2.423452364521778,-2.4471992610549878
28,1,-0.35556019303472225,1.6840630794375,2.6695857797534304,6.737704807593547,-0.336914506791709,1.8050991750436354,-0.01864568624301327,-0.12103609560613537,-0.0,0.11717324543188638,0.21010375042958784,0.28052313930983186,0.33016303638934974,0.36075506598486856,0.3740308524131171,0.37172201999082183,0.35556019303470754,0.32727699586150377,0.2886040527879353,0.24127298813072856,0.18701542620660475,0.12756299133229376,0.06464730782452786,3.292127044428754e-14,-0.06464730782446701,-0.12756299133224222,-0.18701542620656236,-0.24127298813069875,-0.2886040527879242,-0.32727699586150744,-0.3555601930347223,-0.37172201999084376,-0.3740308524131481,-0.3607550659849054,-0.330163036389389,-0.2805231393098694,-0.2101037504296168,-0.11717324543190293,-0.0,0.45142651102133974,0.8252783170426321,1.1259258239793906,1.3577394377471037,1.5250895642612754,1.6323466094374053,1.6838809791909846,1.6840630794375002,1.6372633160924535,1.5478520950713315,1.4201998222896213,1.258676903662793,1.0676537451063512,0.8515007525358148,0.6145883318666707,0.36128688901439715,0.09596682989449976,-0.17700143957750977,-0.4532475134861352,-0.7284009859158814,-0.9980914509512339,-1.257948502676705,-1.5036017351768158,-1.730680742536105,-1.9348151188390603,-2.1116344581702036,-2.2567683546140067,-2.3658464022549595,-2.4344981951775626,-2.4583533274663196
29,1,-0.32000745111458334,1.7035169005208333,2.402651808739476,6.815536870679342,-0.336914506791709,1.8050991750436354,0.016907055677125638,-0.10158227452280211,-0.0,0.10545700093547819,0.18909531202223523,0.2524734111066084,0.2971497760349386,0.3246828846535624,0.3366312148088185,0.33455324434704264,0.32000745111457013,0.2945523129577398,0.25974630772288637,0.2171479132563462,0.1683156074044509,0.11480786801353955,0.0581831729299539,2.9631093821511645e-14,-0.058183172929899114,-0.11480786801349314,-0.16831560740441273,-0.2171479132563194,-0.25974630772287643,-0.29455231295774326,-0.3200074511145836,-0.33455324434706235,-0.3366312148088465,-0.32468288465359557,-0.29714977603497394,-0.25247341110664223,-0.18909531202226124,-0.10545700093549294,-0.0,0.4566412625855244,0.8348116990873617,1.1389322011158785,1.3734236602814163,1.5427069681943317,1.6512030164649778,1.7033326967036986,1.7035169005208333,1.656176519526737,1.565732445331749,1.4366055695462097,1.2732167837804416,1.0799869796448025,0.8613370487496645,0.6216878827053672,0.36546037312224167,0.09707541161064653,-0.17904611021905328,-0.4584833007565087,-0.7368152683913716,-1.0096211215132738,-1.2724799685118764,-1.520970917776846,-1.7506730776978696,-1.9571655566645811,-2.1360274630666507,-2.282837905293696,-2.3931759917353537,-2.4626208307812725,-2.4867515308211012
30,1,-0.3012205112847222,1.725286326451389,2.2615973588956404,6.9026333503431845,-0.336914506791709,1.8050991750436354,0.035693995506986764,-0.07981284859224647,-0.0,0.09926585030972912,0.17799393848640924,0.23765124753954395,0.27970476047864073,0.3056214603132019,0.3168683300527324,0.31491235270673457,0.3012205112847097,0.27725978879616314,0.24449716825059595,0.20439963265751065,0.15843416502640545,0.10806774836678575,0.05476736568815922,2.789248388868132e-14,-0.054767365688107646,-0.10806774836674204,-0.15843416502636956,-0.2043996326574854,-0.24449716825058662,-0.27725978879616636,-0.3012205112847225,-0.3149123527067532,-0.3168683300527589,-0.30562146031323334,-0.27970476047867415,-0.23765124753957603,-0.17799393848643374,-0.09926585030974294,-0.0,0.4624767304576961,0.8454798476943332,1.1534867383702705,1.3909747891458426,1.5624213866813987,1.6723039176372845,1.7250997686738374,1.725286326451389,1.677340977630287,1.585741108870864,1.4549641068334525,1.2894873581783677,1.0937882495659603,0.8723441676565956,0.6296324991106056,0.370130630588314,0.09831594875007266,-0.18133415974376074,-0.4643423082328442,-0.746231110056837,-1.0225231785553779,-1.2887411270681346,-1.5404075689347825,-1.7730451174950148,-1.9821763860884734,-2.163323988054835,-2.3120105367337254,-2.4237586454647873,-2.4940909275876764,-2.51852999644205
